id,headline,author,date,year,newspaper,newspaper_code,section,word_count,text
11,"And the winner is ... Ruby, a nutty but nice ale that will go down a treat with the ladies",Jack Malvern,2009-08-05,2009,The Times,T,News,894,"A silence befalls the judging panel of qualified beer drinkers. One lifts his glass to the light to examine hue and clarity. Another examines the slippage of the head down the side of the glass. Others sniff, swill, quaff and smack their lips before cleansing their palates with water biscuits.

The ritual for choosing the Champion Beer of Britain, at the Great British Beer Festival in Earls Court, West London, is as serious as it is longwinded, but after several hours a winner emerges. A baritone cheer erupts from the crowd of barrel-chested beer enthusiasts as Rudgate Ruby Mild is named the victor. Roger Protz, editor of the Good Beer Guide, says: ""I've just come from tasting nine beers. I'm astonished I can actually speak.""

Equally astonished are Craig Lee and Jamie Allen, in charge of the seven-man brewing operation in Tockwith, North Yorkshire, where Ruby Mild is made. They have been brewing the beer to the same recipe for 14 years —o little interest, with the exception of a silver medal in the mild category last year. Suddenly they will face a surge in demand that will stretch their capacity to the limit.

At present they produce 40 barrels a week —he equivalent of 11,520 pints —nd have the capacity to produce 20 more. Previous winners such as the Coniston Brewing Company in Cumbria had to get a larger brewery to help to make their Bluebird Bitter, because demand outstripped supply.

Mr Lee, brewer, administrator, hops masher and delivery man, said that he hoped that orders would not all come in at once. ""We're only working a five-day week at the moment, so we can work a seven-day week, although I don't know what some of the lads will say about that,"" he said. ""There may be an initial demand that could be difficult to keep up with. We may have to say, 'You'll have to wait a couple of weeks'.""

The beer, which is described in the Good Beer Guide as a ""nutty, rich ruby ale, stronger than usual for a mild"", won by the biggest margin in living memory. One judge remarked that it ""stood out a mile"" from its nearest competitor.

Mr Lee is bemused by his victory, given that mild beers, which were originally created to slake the thirst of miners, are unfashionable compared with golden ales. ""We've certainly not changed our tastes. Perhaps tastes have caught up with us.""

He believes that the sweeter taste could also attract ""the lady drinker"" —hose who, according to the Campaign for Real Ale (Camra), have recently embraced real ale. A survey suggests that 30 per cent of women drinkers have tried it, compared with 16 per cent in 2008.

The real ale enthusiasts at Earls Court, however, appeared to be mostly white, middle-aged men who would be an asset to any tug-of-war team, and occasionally their wives, who could intervene if proceedings became rowdy. Stalls selling ""fresh pork scratchings"" and pork pies seemed to be beating the credit crunch. The Camra shop was selling an unusually large number of XXXL T-shirts.

Kirrily Waldhorn, one of the judges, and editor of an Australian real ale magazine, observed: ""Beer isn't particularly friendly to women. You get a pint glass with beer slopping over the side. Women don't want that."" But selling beer to women in Britain may still be an easier task than selling real ale in Australia. ""When you talk about beer in Australia they think, 'Chuck it down your throat and get drunk'. Things like milds and bitters are not really drunk. Anything served above 5C does not go down well.""

The winners

Champion beer of Britain Rudgate Ruby, pictured Mild bitter Surrey Hills Ranmore Ale Best bitter Southport Golden Sands

Golden ale Dark Star American Pale Ale Strong bitter West Berkshire Dr Hexter's Healer Speciality Nethergate Umbel Magna Winter beer Oakham Attila

Thirst for knowledge

Beer has been brewed since Neolithic times, when Man began harvesting cereals

Britain now has 660 breweries producing real ale, the highest number since the Second World War. Between them they brew approximately 2,500 different beers each year

Seventy breweries were founded last year alone, but harsh trading conditions mean that 57 pubs are closing every month 6 24 million pints of beer are consumed in Britain every day

Four men founded Camra, the Campaign for Real Ale, in 1971. This week it enrolled its 100,000th member. Its Good Beer Guide was first published in 1974 and sold 30,000 copies within seven months

Camra has 647 overseas members in countries including New Zealand, Vietnam, Costa Rica, Saudia Arabia and Taiwan. More than 1,600 of its members are doctors and at least 80 have been ordained

Peterborough is Camra's largest branch, with about 2,500 members

BrewDog, the Aberdeenshire brewery, last month introduced Tokyo, Britain's strongest beer at 14 per cent. Only 3,000 bottles were made

The Great British Beer Festival runs at Earls Court until Saturday Sources: Camra, The Publican, British Beer and Pub Association, Times archives

Real ale is finding a new market among women, brewers believe"
12,CHARGE your glasses and raise [...],Donald MacLeod,2009-10-03,2009,The Sun,THESUN,Features,62,"CHARGE your glasses and raise them to BrewDog, the Aberdeenshire-based brewery, who in answer to its critics after making high-strength beer Tokyo, made a low-alcohol beer called Nanny State.

Brilliant! Why stop there? Let's have other full-strength varieties like Interfering Gits and Goodbye Brown ale on our shelves soon!"
13,Food for thought,DOMINIC WALSH,2009-10-19,2009,The Times,T,Features,422,"Ready, steady... but who will go? Amid mounting speculation, I have opened a book on the next chief executive to move to pastures new. My each-way punts are two of the longest-serving FTSE 100 bosses —raham Mackay, of SABMiller, and Paul Walsh, of Diageo. Both appear to be edging towards retirement, although each has one final deal in him. Better bets may be Giles Thorley, of Punch, and Alan Parker, of Whitbread.

At Punch, the succession has been spiced up by the appointment of Roger Whiteside, from Theshers, and Mike Tye, from Whitbread, to run its two divisions. Mr Thorley told me last week: ""I'm not going to do this for ever, but there's a determination to see through the turnaround."" So next year? ""I don't know.""

My favourite to go first is the evergreen Mr Parker. What about it, Alan? ""I can't get away from the place,"" he laughs. ""I love it."" We'll see.

Bringing back the good old days Canteen, the fashionable all-day dining concept that focuses on serving ""Great British food"" in stylish surroundings, has opened its fourth London outlet, at Canary Wharf. The place was crammed on Thursday, its first day of trading, and further expansion is on the menu. Expect another couple of outlets in Central London before Canteen turns its attention to the suburbs and, down the line, other cities. Based on the bacon, eggs and bubble and squeak I scoffed on Thursday, Canteen deserves all the plaudits.

An epic story of, um, not sure what All eyes tomorrow will be on BrewDog, the maverick Scottish company behind such potent beers as Punk IPA and Hop Rocker. It is planning a splurge to launch ""a business proposal of epic proportions that will truly revolutionise the beer industry"" while announcing ""two prestigious US billionaire boys as new investors"". Beyond that, it is keeping schtum. Should be fascinating.

Size matters if you sink or swim Trading remains tough for restaurants, but the big boys continue to keep their heads above water. The Coffer Peach Business Tracker, which collects figures from the likes of Mitchells & Butlers and Pizza Hut, says that like-for-like sales rose by 1.7 per cent in September compared with the same month last year. Mind you, that is well below the 5.2 per cent increase for the first nine months and it is clear that the chains are discounting like crazy to keep moving forwards.

DOMINIC WALSH"
14,A little something to savour? City Diary In the blue corner James Watt and Martin Dickie,Dominic Walsh,2009-10-21,2009,The Times,T,Business,224,"Given the off-the-wall nature of their business, it was inevitable that James Watt and Martin Dickie, the founders of BrewDog, the Scottish brewer, would find an unusual way to raise new funds. The duo, who launched BrewDog in 2007 after tiring of ""industrially brewed lagers and stuffy ales"", are raising £.3 million by offering drinkers the chance to buy 10,000 shares at £30 via an online equity-raising.

The purveyor of Punk IPA and Trashy Blonde hopes its growing fan base will result in a strong uptake. The issue follows the sale of a 12.5 per cent stake for £00,000 to Keith Greggor and Tony Foglio, the entrepreneurs who turned Skyy Vodka into a billion-dollar brand before selling out to Campari and acquiring an American drinks distributor that imports, among other things, BrewDog beers.

The money raised will fund construction of new £ million ""eco-brewery"" near Aberdeen, with five times the capacity of its present plant in Fraserburgh.

BrewDog, which exports to 15 countries, hopes to use its American investors to boost current US sales of 100,000 bottles a month.

Watt, the managing director, said: ""Within a year we could be doing five times that amount."""
15,BEER MONEY; Brew Dog's shares offer..with ale discount,STEVE HAWKES,2009-10-21,2009,The Sun,THESUN,Business,446,"BREWERY bosses are offering drinkers a fifth off the price of their beers for LIFE if they become shareholders.

Controversial BREWDOG hopes to raise £.3million through the scheme.

The company —hich makes the UK's strongest beer —as put 10,000 shares up for grabs after launching its Equity For Punks initiative.

Sale The Fraserburgh-based firm claims the £30-a-share internet sale is the first of its kind in the UK —iving punters a chance to part-own a brewery.

And investors get a lifetime 20 per cent discount on beer bought at the BrewDog website.

The share launch has already received backing from US drink tycoons Keith Greggor and Tony Foglio, who helped turn trendy tipple Skyy Vodka into a billion-dollar brand before selling it to CAMPARI in 2007.

They aim to help launch BrewDog's Equity for Punks sell-off by jetting in for a bash in Edinburgh today.

Speaking ahead of his visit, Mr Greggor said: ""During our many years in beverage alcohol, we have only seen a few game-changing players come in fresh to the industry. Brew-Dog is one of them.

""Coming out of the recession, so many investors are disenchanted with their past institutional strategies. But Equity for Punks is so different, refreshing and tangible that for anyone remotely interested in good beer this will be their most fun investment in 2009.

""This is an extraordinary opportunity to participate in the success and future of BrewDog.""

BrewDog made headlines across the world last month after brewing Britain's strongest beer Tokyo*, at 18.2 per cent alcohol.

Health campaigners blasted the firm for ""irresponsibly promoting binge-drinking"". Cheeky bosses at BrewDog responded by releasing a beer with just 1.1 per cent alcohol called Nanny State.

But the storm meant the first batch of Tokyo* quickly sold out and BrewDog has posted a 250 per cent growth in profits so far this year.

Global It's now Scotland's biggest independent brewery, employing 27 workers. BrewDog plans to use money raised from its share scheme to build the world's first carbon neutral eco-brewery in Aberdeen. James Watt, who founded the firm with Martin Dickie, said: ""Our business is on the cusp of phenomenal global success.

""We wanted to create a community of 10,000 BrewDog-loving individuals to share in our future growth and share in our vision for BrewDog."" Q FOR more info on BrewDog's Equity For Punks share scheme go to www.equityforpunks.com or www. brewdog.com or

Top dogs... James and Martin & Tokyo*, right"
16,Food for thought,DOMINIC WALSH,2009-10-26,2009,The Times,T,Features,418,"Champagne days for BrewDog James Watt and Martin Dickie, the youthful founders of BrewDog, the Scottish brewer behind Punk IPA and Trashy Blonde, are not only very good at making beer. They are also exceptional when it comes to boosting the value of their business. Last week, they announced plans to raise £.3 million by offering drinkers the chance to buy 10 per cent of the shares via an online equity-raising. As recently as June, they sold a 12.5 per cent stake for £00,000 to Keith Greggor and Tony Foglio, the entrepreneurs who turned Skyy Vodka into a billion-dollar brand. By my reckoning, that means the value of BrewDog has jumped from £.8 million to £3 million in the space of less than six months. Frothy stuff.

And if one green bottle should ... The furore over Diageo's plans to close its Johnnie Walker bottling plant in Kilmarnock with the loss of 700 jobs —he latest development is a union ballot over strike action —as clearly not stopped the drinks giant from taking tough commercial decisions. In Canada, it has announced plans to close its Dorval bottling plant in Quéec with the loss of 65 jobs. So far there is no sign of the sort of political hurricane unleashed in Scotland, but give it time.

Johnson sees right time to deal This month's purchase of 11 Tootsies restaurants by the Giraffe chain was the third deal this year for Risk Capital Partners, Luke Johnson's private equity firm. But Johnson, who recently raised a new £5 million fund, is already on the lookout for new acquisitions. These will be bolt-on deals for existing businesses, such as Giraffe, and acquisitions of new ventures able to be expanded into much bigger businesses. For the outgoing Channel 4 chairman, the rationale is simple: ""Current economic uncertainties means now is a great time to do deals.""

Foodies and the generation game If ever Pierre Koffmann, once the holder of three Michelin stars, needed a reason to return to the stove full-time and open a new restaurant, it is surely the remarkable response to his ""pop-up"" restaurant on top of Selfridges. Having been scheduled to run for five days, it has ended up being extended by three weeks. Ewan Venters, food and restaurants director at Selfridges, said: ""We underestimated the relevance Pierre has had on a whole generation of foodies."" DOMINIC WALSH businessfeatures@thetimes.co.uk"
17,What a brewser; WORLD'S STRONGEST BEER SPARKS FURY,KENNY McALPINE,2009-11-27,2009,The Sun,THESUN,News,306,"FURIOUS health chiefs last night slammed brewery bosses after they launched the strongest beer in the WORLD.

Booze maker BrewDog's new tipple —alled Tactical Nuclear Penguin —s an incredible 32 per cent.

But bosses of the controversial drink firm, based in Fraserburgh, Aberdeenshire, were branded irresponsible for selling the potent brew, just weeks after they also launched Britain's strongest beer.

Record

Jack Law, chief executive of Alcohol Focus Scotland, said: ""It is child-like attention-seeking by a company that should be more responsible.

""The fact that they have achieved a new world record is not admirable.

""It is a product with a lot of alcohol in it —hat's all. To dress it up as anything else is cynical.

""It's as strong as whisky, so you have to ask whether this is actually a beer or a spirit —t's clearly a spirit.""

Tactical Nuclear Penguin beats the previous world record of 31 per cent which was held by German beer Schorschbraer. It was placed in the Guinness Book of World Records yesterday after being tested by experts at Edinburgh's Heriot-Watt University.

The beer began as a 10 per cent imperial stout then was aged for 16 months in two different whisky casks.

It was then stored in a freezer at a chilly -20° for three weeks to reach its massive alcohol level.

BrewDog boss James Watt said: ""This beer is about pushing boundaries.

It is about achieving something which has never before been done and putting Scotland firmly on the map for progressive, craft beers.

""This beer is bold, irreverent and uncompromising.""

Only 500 bottles of the beer are available with prices starting at £0.

kennymcalpine@the-sun.co.uk

'Bold'... boss James"
18,18% beer banned,,2009-12-04,2009,The Sun,THESUN,Features,71,"A SUPER-strong beer was banned from sale yesterday after booze watchdogs ruled its label encouraged excessive drinking.

The Tokyo* brand, made by Scottish firm BrewDog, has an 18.2 per cent alcohol content, or six units per 330ml bottle.

Watchdogs the Portman Group said its slogan containing the words ""you must, from time to time, have excess"" broke booze marketing rules. BrewDog blasted the ""nanny state""."
19,Brewery defends 'connoisseur beer',,2009-12-04,2009,The Times,T,News,100,"Aberdeen The Portman Group drinks watchdog has urged retailers not to stock Tokyo beer, 18.2 per cent alcohol by volume, saying that its marketing promoted excessive drinking.

It is brewed by BrewDog, of Fraserburgh. Martin Dickie, brewery director, said that at £.99 for a 330ml bottle it was a connoisseur's beer, sold at only five specialist beer shops in the UK.

""If you go into a supermarket you can pick up 24 cans of lager at 5 per cent alcohol for £. It's clear which of the two will be abused."""
20,STRONGEST ALE IN BRITAIN IS BANNED; 18% beer's 'drink to excess' rap,GEORGE MAIR,2009-12-04,2009,The Sun,THESUN,News,298,"THE strongest beer in Britain was banned from sale yesterday for promoting ""excessive drinking"".

BrewDog's controversial Tokyo* stout —ith 18.2 per cent alcohol —s four times stronger than normal beers.

A single 330ml bottle of the £0 tipple contains six units of alcohol —wice the recommended daily limit.

Charity Alcohol Focus Scotland complained over a message on the beer's label.

It read: ""Everything in moderation, including moderation itself. What logically follows is that you must, from time, have excess. This beer is for those times.""

Alcohol industry watchdog the Portman Group ruled it breached their code on booze packaging.

Chief executive David Poley said: ""It's obviously unwise for any company to urge consumers to drink to excess.

""We won't allow irresponsible marketing whether it's for a big brand or a niche product.""

BrewDog, based in Fraserburgh, Aberdeenshire, now have to change the Tokyo* label if they want it back in the shops.

Specialist The oak-aged imperial stout has been on sale since July.

But BrewDog director Martin Dickie, 27, insists the ban won't hurt sales.

He said: ""Only 3,000 bottles were produced and only 500 stayed in specialist UK shops.

""I'd imagine there are only a handful of bottles still available in the UK. You'd spend a long time hunting one down.""

He insists it does not promote excessive drinking.

He added: ""Tokyo* is a niche product for connoisseurs, who pay £0 for it for a special occasion and savour it.""

BrewDog has become notorious for its highstrength beers —hile also winning AWARDS for business success.

scottish-sun@the-sun.co.uk

Label row ... Martin Dickie with Tokyo* beer"
21,Consumer goods; Need to know,,2009-12-23,2009,The Times,T,Business,233,"Shoe import duties: European Union ministers voted to extend import duties on shoes from China and Vietnam by 15 months. The decision was taken despite a vote last month by the EU's anti-dumping committee to reject plans to extend the tariffs. Page 47 Amer Sports: The Finnish sports equipment maker said that Roger Talermo, its chief executive, will leave the company and will be replaced by Heikki Takala. Mr Talermo has headed Amer Sports —hose global brands include Atomic, Salomon and Wilson —ince 1996. Mr Takala is the commercial director at Procter & Gamble, the American consumer goods group.

Swiss watches: The Federation of the Swiss Watch Industry said exports had dipped in November by 10.6 per cent year-on-year to SwFr1.4 billion (£35 million), after falling by 23 per cent in October. BrewDog: The independent Scottish brewer may have to cancel plans to raise £.3 million via an equity issue unless it can attract more investors in the next two weeks. Most of the money would go towards funding a new brewery. Hot Tuna: The AIM-listed surfwear and fashion brand reported a full-year pre-tax loss of £.3 million, compared with a £.8 million loss a year ago, mainly because of writedowns to intangible assets. Revenue dipped by 1.6 per cent to £.1 million."
